Sygnatura czasowa	1. Podaj swoją płeć. Zaznacz odpowiedź. 	2. Podaj swój wiek (w latach):	3. Do jakiej kategorii (I) należą uprawiane przez Ciebie sporty?	4. Do jakiej kategorii (II) należą uprawiane przez Ciebie sporty?	5. Do jakiej kategorii (III) należą uprawiane przez Ciebie sporty? 	6. Jaki procent miesięcznych wydatków przeznaczasz na sport?   	7. Scharakteryzuj najczęściej używany przez Ciebie sprzęt sportowy. 	8. Scharakteryzuj najczęściej używaną przez Ciebie odzież sportową. 	9. Na co przeznaczasz zasadniczą część swoich wakacji (urlopu)? 	10. Podaj główne czynniki mobilizujące Cię do podejmowania wysiłku fizycznego. 	11. Czy palisz papierosy? Zaznacz odpowiedź. 	12. Określ przeciętną długość Twego snu nocnego?  	13. Oceń swoje dotychczasowe postępy w nauce i pracy. 	14. Określ poziom swojej sprawności fizycznej. 	15. Określ poziom zadowolenia ze swojego życia. 	16. Scharakteryzuj stan swojego zdrowia. 
2014-11-26 01:03:20	mężczyzna	23	sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	5 – 20 %	markowy, średniej klasy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	wysoki	bardzo dobry
2014-11-26 01:04:50	kobieta	21	sporty całoroczne	sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	niemarkowy	niemarkowa	sen i lektura	troska o wygląd	wcale	5-6 h	bardzo dobre	średnia	wysoki	dobry
2014-11-26 01:05:13	kobieta	23	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	5 – 20 %	markowy, średniej klasy	markowa, wysokiej klasy, markowa, średniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	przeciętny	dobry
2014-11-26 01:07:00	kobieta	22	sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	powyżej 20 %	niemarkowy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	przyjemność płynąca z uprawiania sportu	wcale	powyżej 8 h	dobre, przeciętne	średnia	niski	dobry
2014-11-26 01:15:06	mężczyzna	23	sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	5 – 20 %	markowy, średniej klasy, niemarkowy	markowa, średniej klasy, niemarkowa	turystyka piesza, uprawianie sportu	troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	5-6 h	dobre, przeciętne	średnia	przeciętny	przeciętny
2014-11-26 01:16:23	mężczyzna	23	sporty letnie, sporty zimowe	sporty uprawiane na świeżym powietrzu	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, średniej klasy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	przyjemność płynąca z uprawiania sportu	sporadycznie	7-8 h	dobre	średnia	przeciętny	dobry
2014-11-26 01:17:02	kobieta	22	sporty letnie	sporty uprawiane na świeżym powietrzu	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygląd	wcale	poniżej 5 h, 5-6 h	przeciętne	średnia	przeciętny	dobry
2014-11-26 01:18:01	mężczyzna	23	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	5 – 20 %	markowy, średniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
2014-11-26 01:20:30	kobieta	23	sporty całoroczne	sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	poniżej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie	wcale	5-6 h, 7-8 h	bardzo dobre	niska	wysoki	zły
2014-11-26 01:33:56	kobieta	23	sporty letnie, sporty zimowe	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	poniżej 5%	markowy, średniej klasy	markowa, średniej klasy	spotkania towarzyskie	przyjemność płynąca z uprawiania sportu	wcale	7-8 h	dobre	średnia	niski	dobry
2014-11-26 01:38:54	mężczyzna	23	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	poniżej 5%	markowy, średniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, spotkania towarzyskie	przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	średnia	wysoki	przeciętny
2014-11-26 01:55:41	mężczyzna	21	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)	5 – 20 %	markowy, wysokiej klasy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	średnia	wysoki	dobry
2014-11-26 03:27:26	kobieta	21	sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, średniej klasy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	5-6 h	bardzo dobre	średnia	wysoki	bardzo dobry
2014-11-26 07:37:40	kobieta	22	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	5 – 20 %	markowy, średniej klasy, niemarkowy	markowa, średniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o zdrowie	wcale	5-6 h	bardzo dobre	średnia	wysoki	dobry
2014-11-26 08:39:46	kobieta	21	sporty całoroczne	sporty uprawiane na świeżym powietrzu	sporty indywidualnie (np. jogging, pływanie)	5 – 20 %	markowy, średniej klasy, niemarkowy	niemarkowa	spotkania towarzyskie	troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	dobre	średnia		dobry
2014-11-26 08:57:41	kobieta	21	sporty całoroczne	sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o wygląd, przyjemność płynąca z uprawiania sportu	sporadycznie	7-8 h	przeciętne	wysoka	przeciętny	dobry
2014-11-26 09:08:42	mężczyzna	25	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, średniej klasy			troska o zdrowie, przyjemność płynąca z uprawiania sportu	regularnie	5-6 h	bardzo dobre	średnia	przeciętny	dobry
2014-11-26 09:17:13	kobieta	21	sporty całoroczne	sporty uprawiane na świeżym powietrzu	sporty indywidualnie (np. jogging, pływanie)	5 – 20 %	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	dobre	średnia	przeciętny	przeciętny
2014-11-26 09:31:47	kobieta	21	sporty całoroczne	sporty halowe	sporty indywidualnie (np. jogging, pływanie)	5 – 20 %	markowy, średniej klasy	markowa, średniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemność płynąca z uprawiania sportu	wcale	powyżej 8 h	dobre	średnia	wysoki	dobry
2014-11-26 09:45:42	kobieta	23	sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, średniej klasy	markowa, średniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
2014-11-26 09:47:22	mężczyzna	23	sporty letnie, sporty całoroczne	sporty uprawiane na świeżym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, pływanie)	poniżej 5%	markowy, średniej klasy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	przyjemność płynąca z uprawiania sportu	wcale	7-8 h	bardzo dobre	średnia	niski	przeciętny
