Sygnatura czasowa	"1.	Podaj swoj¹ p³eæ. Zaznacz odpowiedŸ. "	"2.	Podaj swój wiek (w latach):"	"3.	Do jakiej kategorii (I) nale¿¹ uprawiane przez Ciebie sporty?"	"4.	Do jakiej kategorii (II) nale¿¹ uprawiane przez Ciebie sporty?"	"5.	Do jakiej kategorii (III) nale¿¹ uprawiane przez Ciebie sporty? "	"6.	Jaki procent miesiêcznych wydatków przeznaczasz na sport?   "	"7.	Scharakteryzuj najczêœciej u¿ywany przez Ciebie sprzêt sportowy. "	"8.	Scharakteryzuj najczêœciej u¿ywan¹ przez Ciebie odzie¿ sportow¹. "	"9.	Na co przeznaczasz zasadnicz¹ czêœæ swoich wakacji (urlopu)? "	"10.	Podaj g³ówne czynniki mobilizuj¹ce Ciê do podejmowania wysi³ku fizycznego. "	"11.	Czy palisz papierosy? Zaznacz odpowiedŸ. "	"12.	Okreœl przeciêtn¹ d³ugoœæ Twego snu nocnego?  "	"13.	Oceñ swoje dotychczasowe postêpy w nauce i pracy. "	"14.	Okreœl poziom swojej sprawnoœci fizycznej. "	"15.	Okreœl poziom zadowolenia ze swojego ¿ycia. "	"16.	Scharakteryzuj stan swojego zdrowia. "
11-26-2014 1:05:13	kobieta	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, wysokiej klasy, markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	przeciêtny	dobry
11-26-2014 1:07:00	kobieta	22	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	powy¿ej 20 %	niemarkowy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	dobre, przeciêtne	œrednia	niski	dobry
11-26-2014 1:15:06	mê¿czyzna	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka piesza, uprawianie sportu	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre, przeciêtne	œrednia	przeciêtny	przeciêtny
11-26-2014 1:16:23	mê¿czyzna	23	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 1:17:02	kobieta	22	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d	wcale	poni¿ej 5 h, 5-6 h	przeciêtne	œrednia	przeciêtny	dobry
11-26-2014 1:18:01	mê¿czyzna	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 1:20:30	kobieta	23	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie	wcale	5-6 h, 7-8 h	bardzo dobre	niska	wysoki	z³y
11-26-2014 1:33:56	kobieta	23	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	niski	dobry
11-26-2014 1:38:54	mê¿czyzna	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	przeciêtny
11-26-2014 1:55:41	mê¿czyzna	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, wysokiej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 3:27:26	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	bardzo dobre	œrednia	wysoki	bardzo dobry
11-26-2014 7:37:40	kobieta	22	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o zdrowie	wcale	5-6 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 8:39:46	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy, niemarkowy	niemarkowa	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia		dobry
11-26-2014 8:57:41	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	przeciêtne	wysoka	przeciêtny	dobry
11-26-2014 9:08:42	mê¿czyzna	25	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy			troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	bardzo dobre	œrednia	przeciêtny	dobry
11-26-2014 9:17:13	kobieta	21	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	przeciêtny
11-26-2014 9:31:47	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	dobre	œrednia	wysoki	dobry
11-26-2014 9:45:42	kobieta	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 9:47:22	mê¿czyzna	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	niski	przeciêtny
11-26-2014 9:58:49	kobieta	23	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	niska	przeciêtny	dobry
11-26-2014 10:02:23	mê¿czyzna	23	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 10:04:24	mê¿czyzna	21	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 10:07:59	kobieta	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	dobre	œrednia	wysoki	dobry
11-26-2014 10:09:14	kobieta	24	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 10:16:16	mê¿czyzna	23	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 10:17:16	kobieta	22	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 10:25:34	mê¿czyzna	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d	wcale	5-6 h	bardzo dobre	œrednia	przeciêtny	dobry
11-26-2014 10:26:51	kobieta	23	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu, presja rodziny lub kolegów	wcale	7-8 h	dobre	œrednia	wysoki	dobry
11-26-2014 10:31:36	mê¿czyzna	21	sporty letnie, sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	5-6 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 10:53:20	kobieta	22	sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	regularnie	7-8 h	bardzo dobre	wysoka	wysoki	bardzo dobry
11-26-2014 10:59:11	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	powy¿ej 20 %	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 11:05:54	mê¿czyzna	20	sporty letnie	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%, 5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie, sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre, przeciêtne	œrednia	wysoki	bardzo dobry, dobry
11-26-2014 11:07:35	kobieta	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	niemarkowy	markowa, œredniej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o wygl¹d	wcale	5-6 h	dobre	œrednia	przeciêtny	dobry
11-26-2014 11:10:22	mê¿czyzna	25	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	markowy, œredniej klasy, niemarkowy	markowa, œredniej klasy, niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	5-6 h, 7-8 h	bardzo dobre	œrednia	wysoki	bardzo dobry
11-26-2014 11:11:39	kobieta	21	sporty zimowe	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, sen i lektura	troska o wygl¹d, presja rodziny lub kolegów	sporadycznie	5-6 h	bardzo dobre	œrednia	wysoki	przeciêtny
11-26-2014 11:21:22	kobieta	21	sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	poni¿ej 5%	markowy, wysokiej klasy	markowa, wysokiej klasy	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o wygl¹d	wcale	5-6 h	bardzo dobre	œrednia	niski	dobry
11-26-2014 11:21:39	kobieta	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	niemarkowy	niemarkowa	sen i lektura	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	wysoki	bardzo dobry
11-26-2014 11:22:35	mê¿czyzna	20	sporty letnie, sporty zimowe, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	niemarkowa	turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura	troska o zdrowie, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	bardzo dobre	œrednia	wysoki	dobry
11-26-2014 11:32:41	mê¿czyzna	21	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	spotkania towarzyskie	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	sporadycznie	7-8 h	dobre	wysoka	wysoki	dobry
11-26-2014 11:36:05	mê¿czyzna	21	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	poni¿ej 5%	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa	troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	wysoka	przeciêtny	bardzo dobry
11-26-2014 11:40:35	mê¿czyzna	22	sporty ca³oroczne	sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	powy¿ej 20 %	niemarkowy	niemarkowa	turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d	wcale	5-6 h	przeciêtne	œrednia	przeciêtny	dobry
11-26-2014 11:58:29	kobieta	23	sporty letnie, sporty ca³oroczne	sporty uprawiane na œwie¿ym powietrzu, sporty halowe	sporty indywidualnie (np. jogging, p³ywanie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy	turystyka piesza, uprawianie sportu, spotkania towarzyskie	troska o zdrowie, troska o wygl¹d, przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	7-8 h	dobre	œrednia	wysoki	przeciêtny
11-26-2014 11:59:27	mê¿czyzna	21	sporty letnie	sporty uprawiane na œwie¿ym powietrzu	sporty indywidualnie (np. jogging, p³ywanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespo³owe (np. pi³ka no¿na, hokej na lodzie)	5 – 20 %	markowy, œredniej klasy	markowa, œredniej klasy, niemarkowa	sen i lektura	przyjemnoœæ p³yn¹ca z uprawiania sportu	wcale	powy¿ej 8 h	bardzo dobre	niska	wysoki	dobry
